Participante_ID,Instituição,Perfil,Questão_ID,Tema,Pergunta_Aberta,Resposta_Transcrita
P001,IFTO,Gestor,QA1,Funcionalidades_Mais_Úteis,Quais funcionalidades do sistema você considera mais úteis para a gestão do AEE?,"O módulo de cadastro de estudantes é muito prático. Com um único login, consigo acessar todo o histórico do aluno com TEA. Mas o que mais me impressionou foi o dashboard - consigo visualizar rapidamente o progresso de todos os estudantes atendidos pelo AEE."
P001,IFTO,Gestor,QA2,Dificuldades_Implementação,Quais seriam os principais desafios para implementar este sistema em sua escola?,"O maior desafio seria a resistência inicial de alguns professores à mudança de rotina. Muitos ainda preferem trabalhar com fichas em papel. Outro ponto seria capacitar todo o pessoal da escola, inclusive os que têm menor afinidade com tecnologia."
P001,IFTO,Gestor,QA3,Impacto_Participação_Família,Como você vê o potencial de impacto do sistema para aumentar a participação das famílias?,"Com o acesso transparente às informações sobre o desenvolvimento do filho, as famílias ficarão muito mais engajadas. Acredito que isso pode reduzir a evasão e melhorar o comportamento em sala de aula. É importante ter canais de comunicação diretos."
P001,IFTO,Gestor,QA4,Continuidade_Pedagógica,De que forma você acredita que o sistema contribuirá para a continuidade pedagógica em casos de transferência escolar?,"Atualmente, quando um aluno com TEA é transferido para outra escola, toda a informação fica presa ao professor antigo. Com o NEXUS-EDU, todo o histórico de atendimento, estratégias que funcionaram, objetivos em desenvolvimento - tudo fica registrado e acessível."
P002,IFTO,Professor AEE,QA1,Funcionalidades_Mais_Úteis,Quais funcionalidades do sistema você considera mais úteis para a gestão do AEE?,A facilidade de registrar os atendimentos é ótima. Não preciso preencher formulários em papel e depois passar para o computador. Tudo em tempo real. O chatbot educacional também chamou minha atenção como ferramenta de apoio.
P002,IFTO,Professor AEE,QA2,Dificuldades_Implementação,Quais seriam os principais desafios para implementar este sistema em sua escola?,"Minha preocupação é com a segurança dos dados das crianças. Preciso ter certeza de que apenas pessoas autorizadas acessarão essas informações sensíveis. Além disso, preciso de treinamento adequado para usar todas as funcionalidades."
P002,IFTO,Professor AEE,QA3,Impacto_Participação_Família,Como você vê o potencial de impacto do sistema para aumentar a participação das famílias?,"Muitas famílias desistem do acompanhamento porque não entendem os relatórios que a escola envia. Se houver um sistema com linguagem acessível e visualização clara do progresso, com gráficos simples, as famílias participarão muito mais."
P002,IFTO,Professor AEE,QA4,Continuidade_Pedagógica,De que forma você acredita que o sistema contribuirá para a continuidade pedagógica em casos de transferência escolar?,"Essencial! Sempre que um estudante com TEA sai de uma escola e vai para outra, precisamos começar tudo de novo. Se o histórico completo estivesse disponível, o novo professor teria uma base muito melhor para trabalhar."
P003,Colégio Estadual Dom Alano,Gestor,QA1,Funcionalidades_Mais_Úteis,Quais funcionalidades do sistema você considera mais úteis para a gestão do AEE?,"Todas as funcionalidades são bem pensadas. Mas para mim, a gestão de documentos pedagógicos é revolucionária. PEI, PAEE, PDI - tudo padronizado, organizado, rastreável. Economiza muito tempo e garante qualidade na documentação."
P003,Colégio Estadual Dom Alano,Gestor,QA2,Dificuldades_Implementação,Quais seriam os principais desafios para implementar este sistema em sua escola?,"Sinceramente, acho que seria bem fácil. Nossa escola já tem infraestrutura tecnológica adequada. O que pederia seria fazer treinamento em horário de trabalho, não fora do expediente. Precisamos de tempo remunerado para aprender."
P003,Colégio Estadual Dom Alano,Gestor,QA3,Impacto_Participação_Família,Como você vê o potencial de impacto do sistema para aumentar a participação das famílias?,"Alto potencial. As famílias ficarão informadas em tempo real. Poderão consultar o progresso do filho quando quiserem. Isso cria responsabilidade compartilhada entre escola e família. Com um app mobile, seria perfeito."
P003,Colégio Estadual Dom Alano,Gestor,QA4,Continuidade_Pedagógica,De que forma você acredita que o sistema contribuirá para a continuidade pedagógica em casos de transferência escolar?,"Muito significativa. Na rede estadual, temos muitas transferências entre escolas. Com o NEXUS-EDU integrado em todas as escolas, a continuidade seria garantida. O novo professor teria acesso completo ao histórico de atendimento."
P004,Colégio Estadual Dom Alano,Professor AEE,QA1,Funcionalidades_Mais_Úteis,Quais funcionalidades do sistema você considera mais úteis para a gestão do AEE?,O módulo de registro de atendimentos é muito bom. Fácil de preencher. Mas acho que o sistema de notificações será importante para garantir que todas as equipes multidisciplinares saibam das necessidades dos estudantes em tempo real.
P004,Colégio Estadual Dom Alano,Professor AEE,QA2,Dificuldades_Implementação,Quais seriam os principais desafios para implementar este sistema em sua escola?,"Precisaria de suporte técnico disponível. Quando houver problemas, alguém precisa estar lá para resolver rapidamente. Não posso ficar dias esperando porque o sistema saiu do ar. Suporte é essencial."
P004,Colégio Estadual Dom Alano,Professor AEE,QA3,Impacto_Participação_Família,Como você vê o potencial de impacto do sistema para aumentar a participação das famílias?,"Definitivamente positivo. Muitas famílias querem participar mas não sabem como. Com relatórios claros e atualizados pelo sistema, elas terão informações concretas para entender o desenvolvimento do filho e tomar decisões melhores."
P004,Colégio Estadual Dom Alano,Professor AEE,QA4,Continuidade_Pedagógica,De que forma você acredita que o sistema contribuirá para a continuidade pedagógica em casos de transferência escolar?,"Fundamental. Quando recebo um aluno transferido de outra escola, sem histórico, é muito difícil ajustá-lo rapidamente. Com o NEXUS-EDU, terei toda a trajetória de atendimento e saberei exatamente em que ponto continuar o trabalho."
